                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2103,                  2.509,                  1.311,                0.98522,                      1,                  0.995,                0.74767,                0.73642,                0.76285,                0.97261,             0.00027448,             0.00027448,             0.00027448
                      1,                 1.0213,                  1.237,                 1.1656,                0.99018,                      1,                  0.995,                 0.8046,                0.87391,                0.53624,                 0.9384,             0.00054941,             0.00054941,             0.00054941
                      2,                0.98865,                 1.0528,                 1.1457,                0.98918,                      1,                  0.995,                0.79963,                0.71877,                0.48536,                0.91742,             0.00082159,             0.00082159,             0.00082159
                      3,                0.96573,                0.91666,                 1.1202,                0.98971,                      1,                  0.995,                0.76552,                 1.0063,                 0.5821,                0.98779,             0.00082063,             0.00082063,             0.00082063
                      4,                0.95166,                0.83686,                 1.1157,                0.98917,                      1,                  0.995,                0.82147,                0.80138,                0.46797,                0.88938,             0.00082063,             0.00082063,             0.00082063
                      5,                0.92752,                0.75317,                 1.1032,                0.98952,                      1,                  0.995,                0.80709,                 0.8777,                0.44511,                0.94506,             0.00081651,             0.00081651,             0.00081651
                      6,                0.90052,                0.69452,                 1.0969,                0.98874,                      1,                  0.995,                0.82585,                0.74849,                0.36694,                 0.8777,             0.00081238,             0.00081238,             0.00081238
                      7,                0.89589,                0.63571,                 1.0886,                0.98885,                      1,                  0.995,                0.84975,                0.74665,                0.36353,                 0.8898,             0.00080826,             0.00080826,             0.00080826
                      8,                0.88294,                  0.606,                 1.0791,                0.98805,                      1,                  0.995,                 0.8783,                0.76327,                0.40346,                 0.9083,             0.00080414,             0.00080414,             0.00080414
                      9,                0.88507,                0.58622,                 1.0756,                0.98786,                      1,                  0.995,                0.82712,                 0.7797,                0.37555,                0.96254,             0.00080001,             0.00080001,             0.00080001
                     10,                0.87835,                0.56363,                 1.0785,                0.98841,                      1,                  0.995,                 0.8658,                 0.6613,                0.40662,                0.88375,             0.00079589,             0.00079589,             0.00079589
                     11,                0.86036,                0.53575,                 1.0624,                      1,                      1,                  0.995,                 0.8955,                 0.6277,                0.29278,                0.87989,             0.00079177,             0.00079177,             0.00079177
                     12,                0.86414,                0.53227,                 1.0637,                      1,                      1,                  0.995,                   0.83,                0.76792,                0.30819,                0.92988,             0.00078764,             0.00078764,             0.00078764
                     13,                0.85261,                 0.5151,                 1.0619,                0.98908,                      1,                  0.995,                 0.8381,                 0.6939,                 0.2937,                0.89302,             0.00078352,             0.00078352,             0.00078352
                     14,                0.84789,                0.49375,                 1.0647,                0.98823,                      1,                  0.995,                0.81585,                0.77041,                0.32077,                0.88313,              0.0007794,              0.0007794,              0.0007794
                     15,                0.82076,                  0.485,                 1.0514,                      1,                      1,                  0.995,                0.86775,                0.63103,                0.25931,                0.89664,             0.00077527,             0.00077527,             0.00077527
                     16,                0.82655,                0.48217,                 1.0467,                      1,                      1,                  0.995,                0.85825,                0.71405,                0.29905,                0.87299,             0.00077115,             0.00077115,             0.00077115
                     17,                0.82587,                0.47865,                 1.0462,                      1,                      1,                  0.995,                0.84913,                0.69976,                0.31795,                0.88486,             0.00076703,             0.00076703,             0.00076703
                     18,                0.81029,                0.46383,                 1.0418,                      1,                      1,                  0.995,                0.86775,                0.68607,                0.30016,                0.88947,              0.0007629,              0.0007629,              0.0007629
                     19,                0.81883,                0.45803,                 1.0469,                0.98793,                      1,                  0.995,                0.84567,                0.79146,                0.31448,                 0.9161,             0.00075878,             0.00075878,             0.00075878
                     20,                0.82484,                 0.4621,                 1.0547,                      1,                      1,                  0.995,                0.82425,                0.72461,                0.28414,                0.92239,             0.00075466,             0.00075466,             0.00075466
                     21,                0.82143,                0.44522,                 1.0463,                      1,                      1,                  0.995,                0.87725,                0.64946,                0.28777,                0.88339,             0.00075053,             0.00075053,             0.00075053
                     22,                0.81548,                0.44364,                 1.0484,                      1,                      1,                  0.995,                0.86775,                0.68102,                0.25674,                0.88388,             0.00074641,             0.00074641,             0.00074641
                     23,                0.80396,                0.43217,                 1.0426,                      1,                      1,                  0.995,                0.86775,                0.78638,                 0.3018,                0.90842,             0.00074229,             0.00074229,             0.00074229
                     24,                 0.8106,                0.44271,                 1.0359,                      1,                      1,                  0.995,                 0.8335,                0.75032,                0.29615,                0.93554,             0.00073816,             0.00073816,             0.00073816
                     25,                0.81673,                0.43638,                  1.051,                      1,                      1,                  0.995,                0.91425,                0.61629,                0.26708,                0.83479,             0.00073404,             0.00073404,             0.00073404
                     26,                0.79462,                0.42319,                 1.0278,                      1,                      1,                  0.995,                0.84992,                0.63847,                0.24125,                0.84854,             0.00072992,             0.00072992,             0.00072992
                     27,                0.79658,                0.42594,                 1.0473,                      1,                      1,                  0.995,                   0.83,                0.74564,                0.30941,                0.87913,             0.00072579,             0.00072579,             0.00072579
                     28,                0.79899,                0.42939,                 1.0365,                      1,                      1,                  0.995,                 0.8335,                0.71021,                0.30783,                0.90517,             0.00072167,             0.00072167,             0.00072167
                     29,                0.78615,                0.41244,                 1.0286,                0.98853,                      1,                  0.995,                 0.8783,                0.64785,                0.26911,                0.85884,             0.00071755,             0.00071755,             0.00071755
                     30,                 0.8061,                0.42282,                 1.0382,                      1,                      1,                  0.995,                0.84575,                0.74842,                0.26715,                0.87899,             0.00071342,             0.00071342,             0.00071342
                     31,                 0.7919,                0.40879,                  1.033,                      1,                      1,                  0.995,                0.88025,                0.64287,                0.23848,                0.86397,              0.0007093,              0.0007093,              0.0007093
