                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0309,                 5.3862,                 1.3997,                      0,                      0,                      0,                      0,                 3.2029,                  4.162,                 1.1715,              5.001e-05,              5.001e-05,              5.001e-05
                      2,                 4.1198,                 5.0617,                 1.3913,                      0,                      0,                      0,                      0,                 2.6144,                 4.0962,                0.98764,             0.00011553,             0.00011553,             0.00011553
                      3,                 2.9341,                 4.0031,                 0.9994,                0.01389,                0.08621,                 0.0082,                0.00195,                 2.4663,                  3.996,                0.93487,             0.00017974,             0.00017974,             0.00017974
                      4,                 2.6075,                 2.9139,                0.94892,                0.01511,                0.09483,                0.00924,                0.00261,                 2.3865,                 3.8232,                0.90207,             0.00024262,             0.00024262,             0.00024262
                      5,                 2.4273,                 1.9313,                 0.9285,                0.02304,                0.14655,                0.01506,                0.00409,                 2.2987,                 3.7243,                0.89072,             0.00030419,             0.00030419,             0.00030419
                      6,                 2.1726,                 2.4649,                0.93994,                   0.03,                0.18103,                0.02056,                0.00701,                 2.0319,                 3.5714,                0.87516,             0.00036443,             0.00036443,             0.00036443
                      7,                 2.3644,                 1.9311,                0.91955,                0.02754,                0.16379,                0.01828,                0.00699,                 2.0615,                  3.521,                0.88287,             0.00042335,             0.00042335,             0.00042335
                      8,                  2.581,                 2.4892,                0.90843,                0.02584,                0.14655,                0.01673,                0.00489,                 2.1085,                 3.4701,                0.87716,             0.00048096,             0.00048096,             0.00048096
                      9,                 2.6232,                  2.896,                0.92624,                0.01278,                0.06897,                0.00739,                0.00325,                 1.8932,                 3.2602,                0.86436,             0.00053724,             0.00053724,             0.00053724
                     10,                 2.3502,                 1.6855,                0.90308,                0.02063,                0.11207,                0.01907,                0.00861,                 1.9277,                 3.0702,                0.87626,              0.0005922,              0.0005922,              0.0005922
                     11,                 2.3161,                  1.675,                0.88322,                0.04399,                0.25862,                0.09013,                 0.0376,                 1.9243,                 2.9324,                0.87239,             0.00064585,             0.00064585,             0.00064585
                     12,                 2.1299,                  1.546,                0.88595,                  0.063,                0.40517,                0.21131,                0.11039,                 1.9558,                 2.6928,                0.88173,             0.00069817,             0.00069817,             0.00069817
                     13,                 2.2275,                 1.8307,                0.88503,                0.04783,                0.28448,                0.11182,                0.05747,                 1.8184,                 2.9401,                0.86157,             0.00074917,             0.00074917,             0.00074917
                     14,                 2.4763,                 1.7635,                0.87127,                0.04972,                0.30172,                0.14504,                0.07773,                 1.8553,                 2.9285,                0.86124,             0.00079885,             0.00079885,             0.00079885
                     15,                 2.2767,                  1.667,                 0.8953,                 0.0614,                0.42241,                0.23064,                0.12574,                 1.9453,                 2.6903,                0.88402,             0.00084721,             0.00084721,             0.00084721
                     16,                  2.277,                 1.5506,                0.89623,                0.06416,                 0.4569,                0.35499,                0.19296,                 1.9591,                  2.544,                0.88587,             0.00089425,             0.00089425,             0.00089425
                     17,                  2.134,                  1.633,                0.89206,                0.06322,                0.47414,                0.39185,                0.21977,                 1.7964,                  2.412,                0.85958,             0.00093997,             0.00093997,             0.00093997
                     18,                 1.9065,                 1.9856,                0.89756,                0.81154,                0.43966,                0.39336,                0.21125,                 1.7555,                 2.3672,                0.86246,             0.00098438,             0.00098438,             0.00098438
                     19,                  2.202,                 1.5078,                0.87731,                0.06279,                0.46552,                0.39433,                0.22573,                 1.6604,                  2.371,                0.85239,              0.0010275,              0.0010275,              0.0010275
                     20,                 2.0386,                 1.4715,                0.87998,                 0.8062,                0.41379,                0.36807,                0.20241,                 1.7346,                 2.3439,                0.85496,              0.0010692,              0.0010692,              0.0010692
                     21,                 1.8905,                 1.3979,                0.87392,                 0.9241,                0.09644,                0.37413,                0.19394,                 1.7612,                 2.0714,                0.85782,              0.0011097,              0.0011097,              0.0011097
