                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2051,                 2.5263,                  1.304,                  0.931,                      1,                  0.995,                0.84225,                0.76769,                 1.3899,                0.92069,             0.00027432,             0.00027432,             0.00027432
                      1,                 1.0205,                 1.2262,                  1.165,                0.99159,                      1,                  0.995,                  0.796,                0.98654,                0.59812,                0.94315,             0.00054926,             0.00054926,             0.00054926
                      2,                0.99789,                 1.0504,                 1.1421,                  0.989,                      1,                  0.995,                  0.796,                0.84304,                0.52747,                0.91259,             0.00082144,             0.00082144,             0.00082144
                      3,                0.97373,                0.92848,                   1.13,                0.98956,                      1,                  0.995,                0.76564,                0.92684,                0.50775,                0.95278,             0.00082063,             0.00082063,             0.00082063
                      4,                0.93835,                0.82158,                 1.1112,                0.98879,                      1,                  0.995,                0.85302,                0.66575,                0.40352,                0.89134,             0.00082063,             0.00082063,             0.00082063
                      5,                0.93578,                0.76075,                 1.0982,                0.98649,                      1,                  0.995,                 0.8483,                0.85285,                0.50178,                 1.0401,             0.00081651,             0.00081651,             0.00081651
                      6,                0.91703,                0.69646,                 1.0926,                0.98816,                      1,                  0.995,                0.81125,                0.73771,                 0.4142,                0.93861,             0.00081238,             0.00081238,             0.00081238
                      7,                0.89446,                0.64721,                 1.0829,                0.98928,                      1,                  0.995,                0.85862,                0.75842,                0.33803,                0.89097,             0.00080826,             0.00080826,             0.00080826
                      8,                  0.882,                0.61209,                 1.0704,                0.98861,                      1,                  0.995,                 0.8955,                0.63752,                0.32439,                0.88995,             0.00080414,             0.00080414,             0.00080414
                      9,                0.87299,                0.57249,                 1.0628,                0.98868,                      1,                  0.995,                0.85512,                0.64083,                0.32699,                0.86373,             0.00080001,             0.00080001,             0.00080001
                     10,                0.86006,                0.55705,                 1.0623,                 0.9892,                      1,                  0.995,                0.83095,                0.65479,                0.29077,                0.86554,             0.00079589,             0.00079589,             0.00079589
                     11,                0.85789,                0.54136,                 1.0616,                0.98847,                      1,                  0.995,                0.82925,                0.71914,                0.32188,                0.90507,             0.00079177,             0.00079177,             0.00079177
                     12,                0.85458,                0.51818,                 1.0569,                0.98914,                      1,                  0.995,                0.82925,                0.67828,                0.27606,                0.88018,             0.00078764,             0.00078764,             0.00078764
                     13,                0.86612,                0.51286,                 1.0616,                0.98842,                      1,                  0.995,                0.78998,                0.82629,                0.32053,                0.92037,             0.00078352,             0.00078352,             0.00078352
                     14,                0.86619,                0.50126,                 1.0654,                0.98817,                      1,                  0.995,                 0.8675,                0.67062,                0.32028,                0.85174,              0.0007794,              0.0007794,              0.0007794
                     15,                0.84554,                0.48125,                 1.0489,                0.98868,                      1,                  0.995,                0.85837,                0.64875,                0.23917,                0.86353,             0.00077527,             0.00077527,             0.00077527
                     16,                0.82461,                0.46345,                 1.0456,                      1,                      1,                  0.995,                0.81162,                0.87706,                0.31915,                0.94768,             0.00077115,             0.00077115,             0.00077115
                     17,                0.81576,                 0.4619,                 1.0306,                      1,                      1,                  0.995,                0.85825,                0.72183,                0.32087,                0.88613,             0.00076703,             0.00076703,             0.00076703
                     18,                0.84011,                0.46645,                  1.048,                0.98873,                      1,                  0.995,                 0.8955,                0.65286,                0.28479,                0.88106,              0.0007629,              0.0007629,              0.0007629
                     19,                0.82879,                0.46957,                 1.0459,                      1,                      1,                  0.995,                0.85825,                0.73927,                0.27049,                0.89958,             0.00075878,             0.00075878,             0.00075878
                     20,                0.81755,                0.44562,                 1.0447,                0.98898,                      1,                  0.995,                0.87205,                0.70527,                0.25802,                0.88719,             0.00075466,             0.00075466,             0.00075466
                     21,                0.81218,                0.44263,                 1.0388,                      1,                      1,                  0.995,                0.86775,                0.72576,                0.29596,                0.91742,             0.00075053,             0.00075053,             0.00075053
                     22,                0.80883,                0.44339,                 1.0309,                      1,                      1,                  0.995,                0.84992,                0.72968,                0.30244,                0.88237,             0.00074641,             0.00074641,             0.00074641
                     23,                0.81846,                0.44132,                 1.0395,                0.98869,                      1,                  0.995,                 0.8955,                0.65332,                0.26408,                0.87582,             0.00074229,             0.00074229,             0.00074229
                     24,                0.81949,                0.43536,                 1.0406,                      1,                      1,                  0.995,                0.81367,                 0.7084,                0.27582,                0.89645,             0.00073816,             0.00073816,             0.00073816
                     25,                0.81276,                0.43018,                 1.0361,                      1,                      1,                  0.995,                0.86163,                0.59711,                0.25024,                0.86315,             0.00073404,             0.00073404,             0.00073404
