                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2304,                 2.4487,                 1.3992,                0.98427,                      1,                  0.995,                0.78658,                0.76816,                0.58746,                 1.2484,             0.00027458,             0.00027458,             0.00027458
                      1,                 1.0094,                0.79723,                  1.219,                0.98855,                      1,                  0.995,                0.77563,                0.74359,                 0.4188,                 1.2715,             0.00054951,             0.00054951,             0.00054951
                      2,                 1.0011,                0.69928,                 1.2161,                0.98941,                      1,                  0.995,                 0.8243,                0.87535,                0.64675,                 1.3438,              0.0008217,              0.0008217,              0.0008217
                      3,                0.97912,                0.68985,                 1.1976,                0.98887,                      1,                  0.995,                  0.906,                0.62871,                0.42742,                 1.1386,             0.00082063,             0.00082063,             0.00082063
                      4,                0.96929,                0.63094,                 1.1897,                0.98817,                      1,                  0.995,                  0.854,                0.72513,                0.34432,                 1.1878,             0.00082063,             0.00082063,             0.00082063
                      5,                0.93724,                0.58775,                 1.1647,                      1,                      1,                  0.995,                0.86163,                0.60906,                0.31231,                 1.0859,             0.00081651,             0.00081651,             0.00081651
                      6,                0.93105,                0.58056,                 1.1617,                0.98792,                      1,                  0.995,                   0.84,                 0.6454,                  0.365,                  1.105,             0.00081238,             0.00081238,             0.00081238
                      7,                0.90806,                0.55149,                 1.1512,                0.98806,                      1,                  0.995,                0.86357,                0.68666,                0.39433,                 1.1199,             0.00080826,             0.00080826,             0.00080826
                      8,                0.91161,                0.54365,                  1.154,                0.98769,                      1,                  0.995,                0.81911,                 0.6877,                0.36759,                 1.0509,             0.00080414,             0.00080414,             0.00080414
                      9,                 0.8819,                0.50618,                   1.13,                      1,                      1,                  0.995,                0.82775,                0.71482,                0.36899,                 1.1172,             0.00080001,             0.00080001,             0.00080001
                     10,                0.88971,                 0.5028,                 1.1359,                0.98792,                      1,                  0.995,                 0.8658,                0.65609,                0.32239,                 1.1227,             0.00079589,             0.00079589,             0.00079589
                     11,                 0.8616,                0.48193,                 1.1211,                      1,                      1,                  0.995,                 0.8955,                0.71721,                0.30116,                 1.1269,             0.00079177,             0.00079177,             0.00079177
                     12,                0.85658,                0.48206,                 1.1131,                 0.9879,                      1,                  0.995,                0.84275,                0.71609,                0.28878,                 1.1768,             0.00078764,             0.00078764,             0.00078764
                     13,                0.86442,                0.47032,                 1.1193,                      1,                      1,                  0.995,                 0.8335,                0.70919,                0.32117,                 1.1492,             0.00078352,             0.00078352,             0.00078352
                     14,                0.84075,                0.46003,                 1.1012,                0.98798,                      1,                  0.995,                 0.8645,                0.65571,                0.38383,                 1.0637,              0.0007794,              0.0007794,              0.0007794
                     15,                0.83154,                0.45405,                 1.0968,                 0.9879,                      1,                  0.995,                 0.8432,                0.61838,                0.31389,                 1.0593,             0.00077527,             0.00077527,             0.00077527
                     16,                0.82491,                0.45113,                 1.0966,                      1,                      1,                  0.995,                0.88025,                0.59437,                  0.286,                  1.078,             0.00077115,             0.00077115,             0.00077115
                     17,                0.83712,                0.44721,                 1.0864,                0.98875,                      1,                  0.995,                0.87405,                0.62377,                0.33903,                  1.076,             0.00076703,             0.00076703,             0.00076703
                     18,                0.82338,                0.44465,                 1.0886,                      1,                      1,                  0.995,                0.80787,                0.80406,                0.35107,                  1.171,              0.0007629,              0.0007629,              0.0007629
                     19,                0.81803,                0.43669,                 1.0894,                0.98735,                      1,                  0.995,                 0.8955,                0.62596,                0.39823,                 1.0311,             0.00075878,             0.00075878,             0.00075878
                     20,                 0.8144,                0.42188,                 1.0812,                0.98848,                      1,                  0.995,                0.84803,                0.61483,                0.26801,                0.86447,             0.00075466,             0.00075466,             0.00075466
                     21,                0.81951,                0.42081,                 1.0737,                0.98772,                      1,                  0.995,                0.85967,                0.69728,                0.32707,                0.90159,             0.00075053,             0.00075053,             0.00075053
                     22,                0.80821,                0.41458,                 1.0664,                      1,                      1,                  0.995,                0.81367,                0.74241,                0.27102,                0.90087,             0.00074641,             0.00074641,             0.00074641
                     23,                0.80001,                0.40818,                 1.0628,                0.98801,                      1,                  0.995,                0.87205,                 0.7319,                0.34911,                 1.1293,             0.00074229,             0.00074229,             0.00074229
                     24,                0.81173,                0.41421,                  1.085,                0.98839,                      1,                  0.995,                0.85664,                0.75192,                0.31282,                 1.2497,             0.00073816,             0.00073816,             0.00073816
                     25,                0.80552,                0.40902,                 1.0813,                      1,                      1,                  0.995,                0.88025,                0.59843,                0.26454,                 1.0461,             0.00073404,             0.00073404,             0.00073404
                     26,                0.80237,                0.41608,                 1.0574,                      1,                      1,                  0.995,                0.81162,                0.73001,                 0.3018,                0.88447,             0.00072992,             0.00072992,             0.00072992
                     27,                0.78894,                0.40202,                 1.0568,                      1,                      1,                  0.995,                0.86775,                0.66825,                0.27395,                0.87512,             0.00072579,             0.00072579,             0.00072579
                     28,                0.79831,                0.40432,                 1.0676,                0.98835,                      1,                  0.995,                0.82925,                0.65345,                0.24819,                0.87405,             0.00072167,             0.00072167,             0.00072167
                     29,                0.78639,                0.39663,                 1.0559,                      1,                      1,                  0.995,                0.86163,                0.66751,                0.28784,                0.96114,             0.00071755,             0.00071755,             0.00071755
                     30,                0.78693,                0.39277,                  1.052,                 0.9884,                      1,                  0.995,                0.83725,                0.59087,                0.26839,                0.85634,             0.00071342,             0.00071342,             0.00071342
                     31,                 0.7814,                0.39206,                  1.053,                      1,                      1,                  0.995,                0.86775,                0.64618,                0.26969,                0.86318,              0.0007093,              0.0007093,              0.0007093
                     32,                0.78739,                0.38936,                 1.0652,                      1,                      1,                  0.995,                0.88025,                 0.6153,                0.31916,                0.85886,             0.00070518,             0.00070518,             0.00070518
                     33,                0.79293,                0.39777,                 1.0638,                0.98885,                      1,                  0.995,                   0.88,                0.59649,                0.24287,                0.85913,             0.00070105,             0.00070105,             0.00070105
                     34,                0.79368,                 0.3925,                 1.0597,                      1,                      1,                  0.995,                  0.908,                0.61132,                0.24685,                 0.8516,             0.00069693,             0.00069693,             0.00069693
                     35,                0.76779,                0.37327,                 1.0536,                      1,                      1,                  0.995,                0.81367,                0.76342,                0.36973,                 1.1068,             0.00069281,             0.00069281,             0.00069281
